,age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeeid,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
22,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3,11,0,21,2,5,1,3,3,3,2,3,3,7.828470548861945
23,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1,14,0,10,4,20,11,6,2,3,3,1,3,6.615643685854444
24,29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1,11,1,10,2,10,0,9,2,4,2,3,3,6.580408299866111
25,55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3,11,0,12,2,10,0,8,2,4,3,3,3,9.0612148594375
26,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1,22,0,5,3,5,3,3,1,1,3,3,4,10.536275100401388
27,37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1,11,0,17,2,17,5,7,4,4,3,3,3,7.207425256581667
28,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3,14,1,19,2,1,0,0,4,3,1,2,3,10.71306559571611
29,38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9,12,0,10,3,2,1,2,4,4,3,2,3,6.310013386880833
30,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2,11,0,5,5,3,0,2,1,2,3,2,3,9.662807898259445
31,28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1,13,0,5,6,5,0,2,4,4,3,2,3,6.521040829986389
32,49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9,13,0,22,2,3,1,2,3,1,3,3,3,9.88458723784
33,36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4,14,0,10,2,8,7,7,3,2,3,3,3,6.033902275769722
34,31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1,16,1,2,4,2,2,2,4,2,2,3,3,6.348326639892777
35,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1,12,2,8,5,8,7,4,4,4,3,3,3,9.57092369477889
36,37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1,14,0,4,3,4,1,2,2,4,2,3,3,9.702093931280555
37,42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5,13,0,23,2,20,4,8,3,2,4,3,3,5.5232954038374995
38,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1,14,2,0,3,0,0,0,3,3,3,2,3,6.177288041053056
39,35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0,19,0,12,2,11,6,9,3,2,2,2,3,7.381318607764166
40,36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4,12,2,4,2,1,0,0,3,4,3,2,3,7.060059125390278
41,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5,13,0,13,2,4,1,2,4,2,3,2,3,7.167754350736112
42,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1,12,0,22,6,22,0,4,4,2,3,3,3,6.757186523873056
43,18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1,15,0,0,3,0,0,0,4,3,3,3,3,6.755545515394722
44,28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0,23,2,9,2,8,0,7,2,1,3,2,4,7.056963409192222
45,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4,12,1,10,2,8,7,7,2,4,2,3,3,6.913614457831112
46,39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0,20,0,19,3,18,3,7,3,4,2,3,4,7.207423025435
47,36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7,21,0,11,4,9,0,8,2,2,3,3,4,7.455297858098889
48,32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1,21,1,13,4,13,4,8,4,3,2,3,4,6.358520749665278
49,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3,19,2,19,4,10,0,1,1,2,3,2,3,6.323954707719722
50,58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2,13,2,12,3,5,1,2,4,3,3,2,3,10.589165551093057
51,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0,13,1,6,3,5,0,3,3,4,3,2,3,8.685874609549167
52,31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3,21,1,9,2,2,1,0,1,1,3,3,4,6.557103971441111
53,45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1,13,0,24,6,24,9,11,1,1,3,3,3,6.934087460954722
54,31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0,19,2,3,0,2,2,2,3,4,1,3,3,8.43789045069139
55,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6,12,1,12,3,10,8,8,4,2,3,3,3,6.457864792503334
56,39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1,22,1,21,6,21,11,10,3,1,3,3,4,10.809616242748612
57,43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0,15,0,9,2,8,1,7,3,4,3,3,3,7.007448683623333
58,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7,22,0,25,2,7,0,7,3,3,3,3,4,9.709125390450556
59,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2,18,1,11,2,8,7,7,3,2,2,3,3,7.5880365908075
60,27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1,22,0,4,2,4,1,2,3,2,2,3,4,10.458109103078888
61,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1,11,1,13,6,13,11,9,3,2,3,4,3,10.074638554216666
62,27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1,12,2,5,5,5,0,4,4,3,3,4,3,9.341363230700557
63,31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4,11,3,13,4,7,1,7,4,4,3,4,3,6.447809013833056
64,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7,13,0,10,2,7,0,7,1,4,2,3,3,7.136569611780279
65,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5,14,1,5,4,3,2,2,1,4,2,2,3,10.641073181615278
66,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1,13,0,11,3,10,1,9,4,4,3,3,3,5.762560240963611
67,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1,17,0,10,5,10,8,9,3,3,3,2,3,6.025345827755277
68,39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1,13,0,21,4,21,13,3,3,4,3,3,3,5.5637918340025
69,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4,17,1,12,0,1,0,0,4,3,2,3,3,9.851604194555833
70,33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3,11,1,9,0,7,0,1,2,4,2,3,3,7.2128168228466665
71,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4,23,0,21,4,3,1,1,4,3,3,4,4,6.337332663989167
72,43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1,17,2,9,2,9,0,0,3,3,4,3,3,5.945283355644722
73,27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0,17,0,6,3,5,1,4,3,2,3,3,3,8.643457161981111
74,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3,12,2,20,2,4,0,3,4,3,2,3,3,5.681542838018611
75,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8,23,0,10,3,1,0,0,3,1,2,3,4,6.8984895136097215
76,45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9,14,1,12,6,10,9,8,4,4,3,3,3,6.900469656403334
77,40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2,14,2,6,6,4,0,2,2,4,2,3,3,9.197425256581667
78,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1,13,1,7,0,7,0,7,2,1,2,3,3,9.678278670236388
79,29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0,22,2,4,3,3,2,2,2,4,3,3,4,6.6295515394911115
80,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1,12,2,10,2,10,1,2,4,3,3,2,3,7.070961624274722
81,27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1,18,1,8,2,8,0,7,2,2,3,2,3,5.957641677822222
82,37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7,14,0,8,4,6,0,4,4,4,2,3,3,5.687801204819167
83,38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0,12,0,12,1,11,2,9,3,4,3,3,3,8.730585676037222
84,31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1,15,1,11,5,11,4,10,3,4,3,3,3,9.965590138330832
85,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1,11,0,7,0,7,1,7,4,2,3,3,3,8.219101963409166
86,35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0,13,1,17,3,16,0,13,3,2,3,4,3,7.403634538152501
87,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1,23,0,4,2,4,0,2,3,4,2,2,4,6.762868139223333
88,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6,19,2,8,0,5,1,2,4,2,3,3,3,9.29953145917
89,47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3,16,1,5,2,0,0,0,2,3,3,4,3,7.458285363676667
90,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2,22,0,16,0,1,0,0,1,4,3,1,4,5.981423471664167
91,29,No,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1,22,0,4,1,4,0,2,4,3,2,2,4,5.900896921017223
92,42,No,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0,12,1,4,3,3,1,0,3,3,3,2,3,8.086752565818612
93,32,No,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1,13,0,8,0,8,0,7,3,2,3,3,3,7.164133199464445
94,48,No,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3,16,1,15,2,0,0,0,1,3,1,2,3,6.847280232039166
95,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4,12,0,13,2,7,6,7,3,1,3,3,3,10.711529451137777
96,30,No,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7,21,1,4,0,2,2,2,4,3,4,3,4,10.234273761713332
97,26,No,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1,15,3,8,3,8,7,7,3,3,3,3,3,5.849885095939166
98,42,No,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3,13,2,14,2,1,0,0,1,4,3,3,3,5.867603748326389
99,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1,12,0,3,5,3,1,2,1,2,3,2,3,7.970253235162778
100,36,No,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4,22,0,7,4,1,0,0,4,4,3,1,4,6.807350513163611
101,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4,13,1,16,2,13,1,12,1,4,3,3,3,6.791153502900277
102,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2,18,0,15,2,3,1,2,4,3,3,1,3,5.971953369031667
103,40,No,Travel_Rarely,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3,14,1,10,3,7,1,7,4,3,3,3,3,7.606198125836666
104,21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1,14,0,3,2,3,2,2,1,4,2,1,3,7.344952030343333
105,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1,21,1,1,3,1,0,0,4,3,3,1,4,9.749403168228332
106,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6,19,0,17,3,5,0,3,3,1,3,4,3,7.4154562695225
107,46,No,Non-Travel,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2,11,0,7,3,1,0,0,3,3,4,3,3,5.588887773315277
108,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1,11,0,8,3,8,7,7,1,2,3,4,3,7.100332440874444
109,50,No,Travel_Rarely,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6,15,0,20,2,4,1,3,4,4,3,3,3,6.3645537706380555
110,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,6,1,0,3,3,3,2,4,8.735999553770554
111,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0,24,0,3,5,2,2,2,3,2,3,3,4,10.675884649709722
112,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,3,5.537753235162778
113,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9,12,1,6,6,3,1,2,4,4,3,4,3,7.663491744756667
114,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9,15,0,10,2,1,0,0,3,2,3,3,3,7.314774654172222
115,27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,0,12,1,5,2,5,0,4,4,2,3,3,3,5.816591923248333
116,28,No,Travel_Rarely,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1,12,0,7,2,7,0,7,2,4,3,2,3,6.634467871485833
117,49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8,14,1,26,3,5,0,0,2,3,3,3,3,7.542354975457222
118,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,119,Male,1,Sales Executive,Married,41050,4,22,1,18,2,7,0,7,3,4,2,3,4,6.9768016510486115
119,36,No,Travel_Rarely,Sales,15,2,Life Sciences,120,Male,1,Sales Executive,Married,96790,4,12,0,6,1,2,2,2,4,3,3,3,3,5.640869031682222
120,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,121,Male,1,Sales Representative,Single,56170,8,25,1,9,3,5,0,4,1,4,2,3,4,8.600741856313888
121,55,No,Travel_Rarely,Sales,26,3,Marketing,122,Male,1,Laboratory Technician,Single,104480,2,13,0,30,3,5,1,2,3,4,3,3,3,8.230750780901111
122,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,123,Female,5,Manager,Divorced,28970,1,18,3,5,4,5,0,3,4,3,4,3,3,9.230603525211945
123,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,124,Female,2,Manager,Married,59680,1,13,0,1,3,1,0,0,3,2,3,3,3,6.401705711735556
124,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,125,Male,2,Manager,Single,75100,0,18,3,7,3,6,0,4,3,4,3,3,3,6.7463688085675
125,22,No,Travel_Rarely,Research & Development,16,5,Other,126,Male,1,Research Scientist,Married,29910,1,19,2,2,3,2,1,2,1,2,3,2,3,5.831803882195278
126,36,No,Travel_Rarely,Research & Development,1,3,Medical,127,Female,5,Healthcare Representative,Married,196360,1,12,1,10,3,10,9,0,2,3,3,3,3,6.0337817938419445
127,30,Yes,Travel_Frequently,Sales,3,2,Marketing,128,Male,3,Research Scientist,Single,11290,9,19,0,3,2,1,0,0,3,4,3,2,3,7.895576751449999
128,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410,1,14,1,18,3,18,12,17,4,1,2,3,3,6.2188810798750005
129,40,No,Travel_Rarely,Research & Development,6,2,Medical,130,Male,3,Research Scientist,Divorced,43320,7,14,2,8,3,5,1,3,4,2,3,2,3,6.173039937527778
130,42,No,Travel_Rarely,Research & Development,2,3,Medical,131,Female,4,Manager,Divorced,110310,3,12,1,8,2,5,1,2,2,1,3,2,3,7.0619366354305555
131,37,No,Travel_Rarely,Sales,9,1,Marketing,132,Male,3,Sales Executive,Single,44400,2,11,1,18,3,1,0,1,3,2,2,2,3,9.760771976795834
132,43,No,Travel_Rarely,Sales,10,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170,1,11,0,25,2,25,3,9,1,2,3,3,3,6.998694779116389
133,40,No,Travel_Rarely,Sales,6,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470,6,13,0,20,2,1,0,0,2,3,3,2,3,7.164219098616667
134,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,135,Female,2,Manufacturing Director,Married,63230,4,23,1,24,2,4,1,2,1,1,2,2,4,5.468940205265278
135,34,No,Non-Travel,Research & Development,28,3,Medical,136,Male,1,Laboratory Technician,Married,56770,9,20,1,6,3,3,1,2,3,3,3,3,4,6.446319723337778
136,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,137,Male,3,Sales Executive,Married,21870,1,15,1,13,2,13,3,12,2,1,1,2,3,5.713265283355556
137,43,No,Travel_Frequently,Sales,14,3,Life Sciences,138,Female,1,Manufacturing Director,Married,37480,7,14,2,10,3,3,1,2,4,4,3,2,3,6.996710174029444
138,43,No,Travel_Rarely,Sales,27,4,Life Sciences,139,Male,2,Sales Representative,Divorced,39770,4,18,1,8,3,5,0,2,3,3,3,3,3,8.486725792056944
139,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,140,Male,1,Manufacturing Director,Single,86330,1,19,1,5,2,5,1,3,2,4,3,4,3,10.151952253458056
140,37,No,Non-Travel,Research & Development,1,3,Medical,141,Male,3,Laboratory Technician,Married,20080,3,22,0,15,5,13,10,7,2,3,3,2,4,10.004965417224444
141,31,No,Travel_Rarely,Research & Development,24,1,Medical,142,Male,3,Laboratory Technician,Married,44400,1,13,1,4,2,4,3,2,4,1,3,3,3,6.578286479250277
142,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,143,Female,1,Sales Executive,Divorced,30670,1,20,1,21,5,21,1,6,2,3,3,1,4,8.864453369031667
143,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,144,Female,3,Sales Executive,Married,53210,9,14,0,36,1,7,7,7,3,1,2,3,3,7.122437527889166
144,30,No,Travel_Rarely,Sales,5,4,Medical,145,Female,2,Manufacturing Director,Single,54100,0,17,1,6,2,5,4,4,2,3,3,3,3,7.464110887996389
145,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,146,Female,3,Research Scientist,Married,27820,1,14,0,10,2,10,0,7,2,1,3,2,3,6.411313029897222
146,28,No,Travel_Rarely,Research & Development,7,3,Medical,147,Male,3,Healthcare Representative,Divorced,119570,1,13,0,10,2,10,1,8,3,1,3,2,3,5.869447791164445
147,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,148,Female,3,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2,1,1,3,3,3,6.134392012494167
148,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,149,Female,2,Sales Representative,Married,33750,2,21,0,28,2,5,0,4,4,3,3,2,4,7.997580321285
149,45,No,Travel_Rarely,Research & Development,2,3,Medical,150,Female,1,Sales Executive,Married,50980,3,14,1,8,4,2,0,2,1,4,2,3,3,6.460577867023611
150,52,No,Travel_Rarely,Research & Development,12,3,Medical,151,Male,2,Research Scientist,Married,48780,2,11,1,31,3,5,1,4,4,4,1,3,3,6.8915774207941665
151,42,No,Travel_Frequently,Sales,10,3,Marketing,152,Female,2,Healthcare Representative,Divorced,28370,2,13,1,19,0,5,0,2,1,3,3,2,3,6.384019410977222
152,30,No,Travel_Rarely,Sales,25,3,Marketing,153,Male,1,Sales Executive,Single,24060,2,20,1,11,5,5,0,2,3,4,3,3,4,6.763717090584445
153,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,154,Female,1,Manufacturing Director,Married,22690,5,18,1,33,4,29,11,10,1,1,1,3,3,5.743501784917222
154,46,No,Travel_Rarely,Sales,19,4,Marketing,155,Female,1,Sales Executive,Divorced,41080,2,14,0,19,5,10,0,8,3,3,2,2,3,7.243524096385278
155,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,156,Male,4,Sales Executive,Married,132060,0,13,2,7,2,6,0,4,4,4,4,3,3,6.303784024988611
156,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,157,Male,1,Research Scientist,Single,104220,1,17,1,6,0,5,1,4,1,2,3,2,3,10.092957385095835
157,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,158,Male,2,Research Scientist,Divorced,137440,0,20,1,3,3,2,1,0,4,3,2,3,4,5.656244979919445
158,38,No,Travel_Frequently,Sales,3,3,Marketing,159,Female,2,Sales Executive,Married,49070,1,11,1,1,3,1,0,0,4,4,3,3,3,8.177834672021389
159,40,No,Travel_Rarely,Sales,26,4,Marketing,160,Female,1,Sales Executive,Married,34820,0,18,1,21,2,20,1,12,3,3,3,2,3,5.543419232485277
